File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsListener\Properties\AssemblyInfo.cs,43,15,2,0,5,1,23,144,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsLogger\CombinedLogger.cs,68,38,17,2,7,1,23,84,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsLogger\ConsoleLogger.cs,68,38,15,2,10,1,20,78,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsLogger\FileLogger.cs,326,201,97,13,48,1,77,327,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsLogger\ILogger.cs,50,10,5,0,2,1,38,125,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsLogger\LogQueueItem.cs,59,23,10,1,4,1,32,129,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsLogger\MessageType.cs,37,14,3,0,4,1,19,51,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsLogger\StringHelper.cs,37,13,5,1,1,1,23,86,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsLogger\Properties\AssemblyInfo.cs,43,15,2,0,5,1,23,144,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsLogger.Test\FileLoggerTest.cs,142,87,53,7,24,1,31,127,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsLogger.Test\StringHelperTest.cs,32,16,8,0,2,1,14,57,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsLogger.Test\Properties\AssemblyInfo.cs,43,15,2,0,5,1,23,144,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsNetworkAgent\NetworkAgent.cs,17,7,2,0,0,1,10,28,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsNetworkAgent\Properties\AssemblyInfo.cs,43,15,2,0,5,1,23,144,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsTestHelper\ThreadTestHelper.cs,54,21,10,1,6,1,27,112,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsTestHelper\Properties\AssemblyInfo.cs,43,15,2,0,5,1,23,144,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsVisualizer\IVisualizer.cs,51,11,7,0,4,0,36,135,9,24
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsVisualizer\Visualizer.cs,52,30,13,0,7,1,15,38,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsVisualizer\Properties\AssemblyInfo.cs,43,15,2,0,5,1,23,144,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsVisualizer.Test\BiOWheelsVisualizerTest.cs,18,7,2,0,0,1,11,37,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsVisualizer.Test\Properties\AssemblyInfo.cs,43,15,2,0,5,1,23,144,0,1
